Bug,Dark,Dragon,Electric,Fairy,Flying,Fighting,Fire,Ghost,Grass,Ground,Ice,Normal,Poison,Psychic,Rock,Steel,Water
beautifly,hydreigon,jangmo-o,electivire,,,hawlucha,camerupt,palossand,seedot,krokorok,,hoothoot,trubbish,mime-jr,bastiodon,meltan,magikarp
cascoon,inkay,hakamo-o,rotom,,,crabrawler,torkoal,mimikyu,nuzleaf,krookodile,,noctowl,garbodor,gallade,bonsly,melmetal,gyarados
dustox,malamar,kommo-o,blitzle,,,crabominable,chimchar,dhelmise,shiftry,stunfisk,,igglybuff,skrelp,uxie,probopass,,lapras
surskit,yveltal,,zebstrika,,,passimian,monferno,,shroomish,golett,,aipom,dragalge,mesprit,roggenrola,,vaporeon
masquerain,guzzlord,,emolga,,,marshadow,infernape,,breloom,golurk,,girafarig,mareanie,azelf,boldore,,totodile
nincada,,,tynamo,,,,magmortar,,roselia,landorus-incarnate,,dunsparce,toxapex,cresselia,gigalith,,croconaw
ninjask,,,eelektrik,,,,heatran,,cacnea,mudbray,,teddiursa,salandit,victini,archen,,feraligatr
shedinja,,,eelektross,,,,tepig,,cacturne,mudsdale,,ursaring,salazzle,munna,archeops,,chinchou
volbeat,,,thundurus-incarnate,,,,pignite,,tropius,,,porygon2,poipole,musharna,terrakion,,lanturn
illumise,,,helioptile,,,,emboar,,turtwig,,,stantler,naganadel,woobat,binacle,,marill
kricketot,,,heliolisk,,,,pansear,,grotle,,,smeargle,,swoobat,barbaracle,,azumarill
kricketune,,,dedenne,,,,simisear,,torterra,,,miltank,,sigilyph,tyrunt,,politoed
burmy,,,togedemaru,,,,darumaka,,budew,,,blissey,,gothita,tyrantrum,,wooper
wormadam-plant,,,tapu-koko,,,,darmanitan-standard,,roserade,,,zigzagoon,,gothorita,amaura,,quagsire
mothim,,,xurkitree,,,,heatmor,,cherubi,,,linoone,,gothitelle,aurorus,,slowking
combee,,,zeraora,,,,fennekin,,cherrim,,,taillow,,solosis,carbink,,qwilfish
vespiquen,,,,,,,braixen,,carnivine,,,swellow,,duosion,diancie,,corsola
yanmega,,,,,,,delphox,,snover,,,slakoth,,reuniclus,rockruff,,remoraid
sewaddle,,,,,,,fletchinder,,abomasnow,,,vigoroth,,elgyem,lycanroc-midday,,octillery
swadloon,,,,,,,talonflame,,tangrowth,,,slaking,,beheeyem,minior-meteor,,mantine
leavanny,,,,,,,litleo,,leafeon,,,whismur,,espurr,nihilego,,kingdra
venipede,,,,,,,pyroar,,shaymin-land,,,loudred,,meowstic-male,stakataka,,suicune
whirlipede,,,,,,,volcanion,,snivy,,,exploud,,hoopa-confined,,,mudkip
scolipede,,,,,,,litten,,servine,,,azurill,,tapu-lele,,,marshtomp
dwebble,,,,,,,torracat,,serperior,,,skitty,,cosmog,,,swampert
crustle,,,,,,,incineroar,,pansage,,,delcatty,,cosmoem,,,lotad
karrablast,,,,,,,oricorio-baile,,simisage,,,spinda,,solgaleo,,,lombre
escavalier,,,,,,,turtonator,,cottonee,,,swablu,,lunala,,,ludicolo
joltik,,,,,,,blacephalon,,whimsicott,,,zangoose,,necrozma,,,wingull
galvantula,,,,,,,,,petilil,,,castform,,,,,pelipper
shelmet,,,,,,,,,lilligant,,,kecleon,,,,,carvanha
accelgor,,,,,,,,,maractus,,,starly,,,,,sharpedo
durant,,,,,,,,,foongus,,,staravia,,,,,wailmer
larvesta,,,,,,,,,amoonguss,,,staraptor,,,,,wailord
volcarona,,,,,,,,,ferroseed,,,bidoof,,,,,barboach
genesect,,,,,,,,,ferrothorn,,,bibarel,,,,,whiscash
scatterbug,,,,,,,,,virizion,,,ambipom,,,,,corphish
spewpa,,,,,,,,,chespin,,,buneary,,,,,crawdaunt
vivillon,,,,,,,,,quilladin,,,lopunny,,,,,feebas
grubbin,,,,,,,,,chesnaught,,,glameow,,,,,milotic
charjabug,,,,,,,,,skiddo,,,purugly,,,,,clamperl
vikavolt,,,,,,,,,gogoat,,,happiny,,,,,huntail
cutiefly,,,,,,,,,rowlet,,,chatot,,,,,gorebyss
ribombee,,,,,,,,,dartrix,,,munchlax,,,,,relicanth
wimpod,,,,,,,,,decidueye,,,lickilicky,,,,,luvdisc
golisopod,,,,,,,,,fomantis,,,porygon-z,,,,,kyogre
buzzwole,,,,,,,,,lurantis,,,regigigas,,,,,piplup
pheromosa,,,,,,,,,morelull,,,arceus,,,,,prinplup
,,,,,,,,,shiinotic,,,patrat,,,,,empoleon
,,,,,,,,,bounsweet,,,watchog,,,,,buizel
,,,,,,,,,steenee,,,lillipup,,,,,floatzel
,,,,,,,,,tsareena,,,herdier,,,,,shellos
,,,,,,,,,tapu-bulu,,,stoutland,,,,,gastrodon
,,,,,,,,,kartana,,,pidove,,,,,finneon
,,,,,,,,,,,,tranquill,,,,,lumineon
,,,,,,,,,,,,unfezant,,,,,mantyke
,,,,,,,,,,,,audino,,,,,palkia
,,,,,,,,,,,,minccino,,,,,phione
,,,,,,,,,,,,cinccino,,,,,manaphy
,,,,,,,,,,,,deerling,,,,,oshawott
,,,,,,,,,,,,sawsbuck,,,,,dewott
,,,,,,,,,,,,bouffalant,,,,,samurott
,,,,,,,,,,,,rufflet,,,,,panpour
,,,,,,,,,,,,braviary,,,,,simipour
,,,,,,,,,,,,meloetta-aria,,,,,tympole
,,,,,,,,,,,,bunnelby,,,,,palpitoad
,,,,,,,,,,,,diggersby,,,,,seismitoad
,,,,,,,,,,,,fletchling,,,,,basculin-red-striped
,,,,,,,,,,,,furfrou,,,,,tirtouga
,,,,,,,,,,,,pikipek,,,,,carracosta
,,,,,,,,,,,,trumbeak,,,,,ducklett
,,,,,,,,,,,,toucannon,,,,,swanna
,,,,,,,,,,,,yungoos,,,,,frillish
,,,,,,,,,,,,gumshoos,,,,,jellicent
,,,,,,,,,,,,stufful,,,,,alomomola
,,,,,,,,,,,,bewear,,,,,keldeo-ordinary
,,,,,,,,,,,,oranguru,,,,,froakie
,,,,,,,,,,,,type-null,,,,,frogadier
,,,,,,,,,,,,silvally,,,,,greninja
,,,,,,,,,,,,komala,,,,,clauncher
,,,,,,,,,,,,drampa,,,,,clawitzer
,,,,,,,,,,,,,,,,,popplio
,,,,,,,,,,,,,,,,,brionne
,,,,,,,,,,,,,,,,,primarina
,,,,,,,,,,,,,,,,,wishiwashi-solo
,,,,,,,,,,,,,,,,,dewpider
,,,,,,,,,,,,,,,,,araquanid
,,,,,,,,,,,,,,,,,pyukumuku
,,,,,,,,,,,,,,,,,bruxish
,,,,,,,,,,,,,,,,,tapu-fini
